# FINAL HIGH-STAT coherent eps_det table
# Broad coherent MC used for bins without dedicated MC
# 223-234: 224coh (monoenergetic at 224.186 MeV; documented proxy)
# 283-294: 294coh
# 319-330: 320coh
# 356-366: 366coh
# input: /media/daniele/LaCie/Output/Acqu_geant_He4pi0.root
# definition: eps_det(E_lab,theta_cm) = Nreco / Ngen_bin
# denominator: Ngen_bin = Ntagged_in_Ebin * DeltaOmega_cm/(4*pi), valid if MC was generated isotropically in CM
# reco selection: two neutral clusters E>20, veto<1, best pair 110 < mgg < 155 MeV
# applyMMCut = 1, MM cut = [-10,40] MeV
# E_low E_high E_center thetaCm_low thetaCm_high thetaCm_center DeltaOmega_sr Ngen_E Ngen_bin Nreco eps_det deps_det
379 390 384.5 100 105 102.5 0.535144 15362 654.197 452 0.690923 0.0180673
379 390 384.5 105 110 107.5 0.522768 15362 639.068 395 0.618088 0.0192191
379 390 384.5 110 115 112.5 0.506413 15362 619.074 419 0.676817 0.018797
379 390 384.5 115 120 117.5 0.486204 15362 594.369 416 0.699902 0.0187985
379 390 384.5 120 125 122.5 0.462294 15362 565.141 398 0.70425 0.0191976
379 390 384.5 125 130 127.5 0.434867 15362 531.611 315 0.592539 0.021311
379 390 384.5 130 135 132.5 0.404129 15362 494.036 322 0.651775 0.0214338
379 390 384.5 135 140 137.5 0.370316 15362 452.7 277 0.611884 0.0229039
379 390 384.5 140 145 142.5 0.333685 15362 407.919 229 0.561385 0.0245689
379 390 384.5 145 150 147.5 0.294514 15362 360.034 173 0.48051 0.026331
391 401 396 5 10 7.5 0.0715463 12521 71.288 0 0 0
391 401 396 10 15 12.5 0.118639 12521 118.21 0 0 0
391 401 396 15 20 17.5 0.164828 12521 164.233 10 0.0608891 0.0186594
391 401 396 20 25 22.5 0.209763 12521 209.006 32 0.153106 0.0249076
391 401 396 25 30 27.5 0.253102 12521 252.188 68 0.26964 0.0279447
391 401 396 30 35 32.5 0.294514 12521 293.451 95 0.323734 0.027314
391 401 396 35 40 37.5 0.333685 12521 332.48 170 0.511309 0.0274142
391 401 396 40 45 42.5 0.370316 12521 368.979 177 0.479702 0.0260082
391 401 396 45 50 47.5 0.404129 12521 402.67 247 0.613405 0.0242676
391 401 396 50 55 52.5 0.434867 12521 433.297 283 0.653132 0.022866
391 401 396 55 60 57.5 0.462294 12521 460.625 288 0.625237 0.0225542
391 401 396 60 65 62.5 0.486204 12521 484.448 306 0.631646 0.0219152
391 401 396 65 70 67.5 0.506413 12521 504.585 319 0.632203 0.0214667
391 401 396 70 75 72.5 0.522768 12521 520.88 340 0.652741 0.0208607
391 401 396 75 80 77.5 0.535144 12521 533.212 371 0.695783 0.0199241
391 401 396 80 85 82.5 0.543448 12521 541.486 372 0.686999 0.0199277
391 401 396 85 90 87.5 0.547616 12521 545.639 375 0.687268 0.0198471
