1	0.190349	0.000433716
2	0.192469	0.000449727
3	0.195734	0.000464506
4	0.197901	0.000459916
5	0.199181	0.000481079
6	4.00172e-05	9.69363e-08
7	3.82256e-05	9.47378e-08
8	0.199453	0.000522783
9	0.197455	0.000563043
10	0.196542	0.000575873
11	0.197891	0.000581847
12	0.199213	0.000589358
13	0.19845	0.000596614
14	0.198952	0.000607825
15	0.198174	0.00062926
16	0.198406	0.000657562
17	0.194815	0.000670489
18	0.194196	0.000675636
19	0.195765	0.000679921
20	0.197149	0.000686673
21	0.196677	0.000718002
22	0.196655	0.000726299
23	0.196252	0.000729269
24	0.197619	0.000738717
25	0.194373	0.00075028
26	0.196682	0.00076629
27	0.193228	0.000781161
28	0.193692	0.00080396
29	0.194414	0.000816192
30	0.196114	0.000815197
31	0.19579	0.000828938
32	0.195912	0.000837078
33	0.195543	0.000843684
34	0.194414	0.000870487
35	0.19465	0.000895138
36	0.193485	0.0008745
37	0.195931	0.000906565
38	0.194125	0.000895165
39	0.196916	0.000924659
40	0.197287	0.000911894
41	0.190818	0.000949081
42	0.193689	0.000962116
43	0.194088	0.000977114
44	0.194673	0.000973442
45	0.195259	0.000979271
46	0.195312	0.000968413
47	0.19557	0.000984713
48	0.195556	0.00100549
49	0.194185	0.00104385
50	0.197084	0.00104379
51	0.193809	0.00105318
52	0.195177	0.00105386
53	0.193001	0.00107367
54	0.194048	0.00108926
55	0.194025	0.00110176
56	0.193276	0.00110815
57	0.192103	0.00111975
58	0.193454	0.00111849
59	0.192651	0.00111431
60	0.194493	0.00113263
61	0.195505	0.00114204
62	0.196914	0.00114842
63	0.194663	0.00116197
64	0.206864	0.0012654
65	0.193137	0.00120041
66	0.193576	0.00120092
67	0.189854	0.0012081
68	0.19327	0.00121242
69	0.193928	0.00123974
70	0.195193	0.00123653
71	0.194708	0.00125935
72	0.193193	0.00128146
73	0.192597	0.00128317
74	0.193607	0.00128655
75	0.191793	0.00129792
76	0.195273	0.00128861
77	0.194317	0.00129862
78	0.1954	0.00129744
79	0.194764	0.00133821
80	0.193868	0.00135635
81	0.192824	0.00139815
82	0.192993	0.00138171
83	0.183355	0.00136023
84	0.195015	0.00142005
85	0.193868	0.00142257
86	0.193971	0.00140061
87	0.195598	0.00141296
88	0.194269	0.00142618
89	0.18985	0.00144938
90	0.193871	0.00146508
91	0.191328	0.00145128
92	0.195128	0.0014658
93	0.192023	0.00147998
94	0.193339	0.00148422
95	0.191881	0.00149988
96	0.191714	0.001489
97	0.194155	0.00153868
98	0.190252	0.00152635
99	0.191655	0.00157333
100	0.19274	0.00155911
101	0.19084	0.00155872
102	0.192998	0.00157856
103	0.193498	0.00161796
104	0.194013	0.0016142
105	0.191872	0.00161305
106	0.193027	0.00159591
